sentence,label
刚开始是牙炎痛后面又口腔溃疡,牙齿炎症治疗
我想问一下整个过程大概要多久,无主题
就是我想质询智齿,智齿
请问免疫抑制剂对口腔溃疡恢复有什么作用呢？,口腔溃疡
补牙是要么收费的,补牙
我本身做了树脂贴面,无主题
天生就是牙黄的,牙齿美白
但这几天牙疼，就问下可以洗不,牙齿疼痛
洗牙一般怎么费用,洁牙
儿童牙龈溃疡有什么严重后果吗,牙周治疗
高血压有,无主题
他暑假的时候就是在重庆里带的牙套。,无主题
刚断的，像这年龄可以补吗,补牙
这个周期会比隐形短吧,隐形矫正
种牙一个月后牙龈突然红肿,牙周治疗
倾向隐形的,隐形矫正
我知道? 我只是想知道大概费用要多少,无主题
白天不怎么痛，就是晚上痛的睡不着,牙齿疼痛
小孩十二岁牙痛，咬硬东西不行,牙齿疼痛
想洗才,洁牙
你们那隐形矫是透明的那种吗,隐形矫正
我是替我一个亲戚咨询的，武大医生建议她做非金属的,无主题
你好，牙齿磨小后做全瓷牙费用是多少,全瓷牙
问一下 半口牙下来 费用多少,无主题
医保卡里的现金是指里面每个月充进去的钱吗,无主题
没有长过智齿，不知道智齿长什么样。但是旁边一颗是蛀牙,龋齿治疗
有没有缓解的办法呢,无主题
挂号收多少,无主题
烤瓷冠还是全瓷冠呢,无主题
复查了，现在牙根已经不牢固了,牙齿松动
问一下你们现在最便宜的正畸矫正多少钱,牙齿矫正
我的智齿疼 想拔又不敢拔 怕疼 有的说拔了其他牙会松掉,智齿冠周冲洗
我就想问问牙套国产你们那有没有,无主题
直接说大概要多少钱？,无主题
有颗牙齿松动怎么办,牙齿松动
我在长智齿，已经痛了好几天了,智齿冠周冲洗
间隔性teng,牙齿疼痛
四岁换牙会有什么危害吗？,无主题
大概补两颗牙要多少钱？,补牙
是贴面 还是冷光,无主题
我只有一颗牙,补牙
主要是吃东西卡牙齿，缝也不是很大,无主题
请问二氧化锆全瓷牙多少钱？,全瓷牙
大量出血这种,无主题
需要戴多久呢,牙齿矫正
价格分别是怎样的,无主题
这哈疼得睡不着,牙齿疼痛
这次疼了三天,牙齿疼痛
还有两颗蛀牙哦,龋齿治疗
是什么种植体,牙齿种植
种一个牙镶2个,牙齿种植
蛀牙会疼了，我牙也不疼,龋齿治疗
现在做个牙齿好贵,无主题
哪种快点,无主题
疼一只掉了一节的牙。,补牙
明天或者洗,无主题
现在种一颗牙多少钱,牙齿种植
这两种状况严重不,无主题
拨牙风险大不,拔牙
我昨天摔了，嘴巴我昨天摔了嘴巴痛,无主题
